date,type,operator,onboard fatality,ground fatality,total fatality,location,impact
29-Dec-24,Boeing 737-8AS (WL),Jeju Air,179,0,179,Muan International Airport (MWX/RKJB),Pending
8-Jan-20,Boeing 737-8KV (WL),Ukraine International Airlines,176,0,176,near Sabashahr,War Risk
29-Oct-18,Boeing 737 MAX 8,Lion Air,189,0,189,15 km N off Tanjung Bungin,Aircraft Design | Pilot Training
11-Apr-18,Ilyushin Il-76TD,Al Quwwat al-Jawwiya al-Jaza'eriya,257,0,257,near Boufarik Air Base,Pilot Training
31-Oct-15,Airbus A321-231,Metrojet,224,0,224,"ca 50 km SE of Hasna, North Sinai",Airport Security
17-Jul-14,Boeing 777-2H6ER,Malaysia Airlines,298,0,298,Hrabove,War Risk
8-Mar-14,Boeing 777-2H6ER,Malaysia Airlines,239,0,239,within Indian Ocean,Pilot Training
15-Jul-09,Tupolev Tu-154M,Caspian Airlines,168,0,168,12 km S of Qazvin,Fleet Maintenance | Pilot Training
1-Jun-09,Airbus A330-203,Air France,228,0,228,c 160km NNW off S_o Pedro and S_o Paulo Archipelago,Pilot Training | Aircraft Design
17-Jul-07,Airbus A320-233,TAM Linhas Aéreas,187,12,199,"S_o Paulo-Congonhas Airport, SP (CGH)",Pilot Training | Airport/Ground Operations
22-Aug-06,Tupolev Tu-154M,Pulkovo Aviation Enterprise,170,0,170,45 km NW of Donetsk,Weather | Pilot Training
19-Feb-03,Ilyushin Il-76MD,Iranian Revolutionary Guard Corps Air Force - IRGCAF,275,0,275,35 km SE from Kerman,Pilot Training | Fleet Maintenance
25-May-02,Boeing 747-209B,China Airlines,225,0,225,"45 km NE off Penghu islands, Taiwan [Taiwan Strait]",Fleet Maintenance
12-Nov-01,Airbus A300B4-605R,American Airlines,260,5,265,"Belle Harbor, NY",Pilot Training
11-Sep-01,Boeing 767-223ER,American Airlines,92,1600,1692,"New York, NY",Airport Security
11-Sep-01,Boeing 767-222,United Airlines,65,900,965,"New York, NY",Airport Security
11-Sep-01,Boeing 757-223,American Airlines,64,125,189,"Washington, DC",Airport Security
30-Jan-00,Airbus A310-304,Kenya Airways,169,0,169,"2,8 km S off Abidjan-Felix Houphouet Boigny Airport (ABJ)",Fleet Maintenance
31-Oct-99,Boeing 767-366ER,EgyptAir,217,0,217,"100 km S off Nantucket Island, MA, USA",Pilot Training
2-Sep-98,McDonnell Douglas MD-11,Swissair,229,0,229,"9 km SW off Peggy's Cove, NS",Aircraft Design
16-Feb-98,Airbus A300B4-622R,China Airlines,196,7,203,Taipei-Chiang Kai Shek International Airport (TPE),Fleet Maintenance
26-Sep-97,Airbus A300B4-220,Garuda Indonesia Airways,234,0,234,25 km SSW of Medan-Polonia Airport (MES),Pilot Training
6-Aug-97,Boeing 747-3B5,Korean Air,228,0,228,"4,8 km SW of Guam-Agana International Airport (GUM)",Pilot Training
12-Nov-96,Ilyushin Il-76TD,Kazakhstan Airlines,37,312,349,5 km from Charkhi Dadri,Air Traffic Control
12-Nov-96,Boeing 747-168B,Saudi Arabian Airlines,312,37,349,5 km from Charki Dadri,Air Traffic Control
17-Jul-96,Boeing 747-131,Trans World Airlines - TWA,230,0,230,"13 km S off East Moriches, NY",Aircraft Design
6-Feb-96,Boeing 757-225,"Alas Nacionales, lsf Birgenair",189,0,189,"26 km NE off Puerto Plata, Dominican Republic",Aircraft Design
8-Jan-96,Antonov An-32B,"African Air, lsf Moscow Airlines",0,237,237,Kinshasa-N'Dolo Airport (NLO),Airport Security
26-Apr-94,Airbus A300B4-622R,China Airlines,264,0,264,Nagoya-Komaki International Airport (NGO),Pilot Training
11-Jul-91,McDonnell Douglas DC-8-61,"Nigeria Airways, lsf Nationair",261,0,261,"2,8 km S of Jeddah-King Abdulaziz International Airport (JED)",Fleet Maintenance
26-May-91,Boeing 767-3Z9ER,Lauda Air,223,0,223,"5,6 km NNE of Phu Toey",Aircraft Design | Pilot Training
19-Sep-89,McDonnell Douglas DC-10-30,Union de Transports Aériens - UTA,170,0,170,Ténéré desert,Airport Security
