acc. date,type,operator,Onboard Fatality,Ground Fatality,Total Fatality,location,dmg,capacity
28 Jan 1961,B707,American Airlines,6,0,6,"8 km W off Montauk Point, NY",w/o,189
15 Feb 1961,B707,Sabena,72,1,73,3 km NE of Brussel-Zaventem Airport (BRU),w/o,189
1 Mar 1962,B707,American Airlines,95,0,95,"Jamaica Bay, NY",w/o,189
22 May 1962,B707,Continental Air Lines,45,0,45,"10 km NNW of Unionville, MO",w/o,189
3 Jun 1962,B707,Air France,130,0,130,Paris-Orly Airport (ORY),w/o,189
22 Jun 1962,B707,Air France,113,0,113,25 km WNW of Pointe-à-Pitre-Le Raizet Airport (PTP),w/o,189
27 Nov 1962,B707,Varig,97,0,97,ca 25 km SE of Lima-Callao International Airport (LIM),w/o,189
8 Dec 1963,B707,Pan American World Airways (Pan Am),81,0,81,"Elkton, MD",w/o,189
23 Nov 1964,B707,Trans World Airlines - TWA,50,0,50,Roma-Fiumicino Airport (FCO),w/o,189
16 Aug 1965,B727,United Airlines,30,0,30,"Lake Michigan, MI",w/o,189
17 Sep 1965,B707,Pan American World Airways (Pan Am),30,0,30,Chances Peak,w/o,189
8 Nov 1965,B727,American Airlines,58,0,58,"3 km N of Cincinnati-Greater Cincinnati, OH",w/o,189
11 Nov 1965,B727,United Airlines,43,0,43,"Salt Lake City International Airport, UT (SLC)",w/o,189
4 Dec 1965,B707,Trans World Airlines - TWA,0,4,4,"New York, NY",sub,189
24 Jan 1966,B707,Air-India,117,0,117,Mont Blanc,w/o,189
4 Feb 1966,B727,All Nippon Airways - ANA,133,0,133,12 km ESE off Tokyo-Haneda Airport (HND) [Tokyo Bay],w/o,189
5 Mar 1966,B707,British Overseas Airways Corporation - BOAC,124,0,124,Mount Fuji,w/o,189
15 Nov 1966,B727,Pan American World Airways (Pan Am),3,0,3,near Dallgow,w/o,189
19 Jul 1967,B727,Piedmont Airlines,79,3,82,"Hendersonville, NC",w/o,189
6 Nov 1967,B707,Trans World Airlines - TWA,1,0,1,"Cincinnati/Northern Kentucky Airport, KY (CVG)",w/o,189
7 Feb 1968,B707,"Canadian Pacific Air Lines - CPAL, lsf Standard Airways",1,1,2,"Vancouver International Airport, BC (YVR)",w/o,189
16 Feb 1968,B727,Civil Air Transport,21,1,22,11 km NW of Taipei,w/o,189
5 Mar 1968,B707,Air France,63,0,63,"27,5 km SSW of Pointe-à-Pitre",w/o,189
8 Apr 1968,B707,British Overseas Airways Corporation - BOAC,5,0,5,London-Heathrow Airport (LHR),w/o,189
20 Apr 1968,B707,South African Airways - SAA,123,0,123,5 km E of Windhoek-Strijdom International Airport (WDH),w/o,189
13 Jun 1968,B707,Pan American World Airways (Pan Am),6,0,6,1 km from Calcutta-Dum Dum Airport (CCU),w/o,189
13 Jul 1968,B707,Sabena,7,0,7,14 km N of Lagos-Murtala Muhammed Airport (LOS),w/o,189
12 Dec 1968,B707,Pan American World Airways (Pan Am),51,0,51,"18,4 km N off Caracas",w/o,189
26 Dec 1968,B707,El Al Israel Airlines,1,0,1,Athens-Ellinikon International Airport (ATH),sub,189
26 Dec 1968,B707,Pan American World Airways (Pan Am),3,0,3,"Anchorage-Elmendorf AFB, AK (EDF)",w/o,189
5 Jan 1969,B727,Ariana Afghan Airlines,48,2,50,"2,5 km E of London-Gatwick Airport (LGW)",w/o,189
18 Jan 1969,B727,United Airlines,38,0,38,"20 km W off Los Angeles, CA [Santa Monica Bay]",w/o,189
4 Jun 1969,B727,Mexicana de Aviación,79,0,79,23 km NW of Monterrey-Gen Mariano Escobedo Airport (MTY),w/o,189
26 Jul 1969,B707,Trans World Airlines - TWA,5,0,5,"Atlantic City International Airport, NJ (ACY)",w/o,189
3 Aug 1969,B707,American Airlines,0,1,1,"Fort Worth, TX",sub,189
21 Sep 1969,B727,Mexicana de Aviación,27,0,27,"1,5 km NE of Mexico City-Juarez International Airport (MEX)",w/o,189
3 Dec 1969,B707,Air France,62,0,62,"ca 6,5 km off Caracas-Simon Bolivar Airport (CCS)",w/o,189
12 Dec 1969,B707,Ethiopian Airlines,2,0,2,Athens (ATH),non,189
20 Jul 1970,B737,Condor Flugdienst,0,3,3,Tarragona,min,230
6 Sep 1970,B707,El Al Israel Airlines,1,0,1,London-Heathrow Airport (LHR),non,189
30 Nov 1970,B707,Trans World Airlines - TWA,0,2,2,Tel Aviv-Lod International Airport (TLV),w/o,189
28 Dec 1970,B727,Trans Caribbean Airways,2,0,2,Saint Thomas-Harry S.Truman Airport (STT),w/o,189
9 Jan 1971,B707,American Airlines,0,2,2,"Edison, NJ",sub,189
11 Jun 1971,B727,Trans World Airlines - TWA,1,0,1,"New York-John F. Kennedy International Airport, NY (JFK)",unk,189
23 Jul 1971,B727,Trans World Airlines - TWA,1,0,1,"New York-La Guardia Airport, NY (LGA)",unk,189
25 Jul 1971,B707,Pan American World Airways (Pan Am),4,0,4,32 km ENE of Manila International Airport (MNL),w/o,189
30 Jul 1971,B727,All Nippon Airways - ANA,162,0,162,near Shizukuishi,w/o,189
4 Sep 1971,B727,Alaska Airlines,111,0,111,"35 km W of Juneau, AK",w/o,189
8 May 1972,B707,Sabena,3,0,3,Tel Aviv-Lod International Airport (TLV),unk,189
2 Jul 1972,B747,Pan American World Airways (Pan Am),1,0,1,Saigon-Tan Son Nhat International Airport (SGN),unk,660
5 Jul 1972,B737,Pacific Southwest Airlines - PSA,3,0,3,"San Francisco International Airport, CA (SFO)",unk,230
29 Oct 1972,B727,Eastern Air Lines,0,1,1,Havana-José Martí International Airport (HAV),non,189
5 Dec 1972,B707,EgyptAir,6,0,6,Beni Suef,w/o,189
8 Dec 1972,B737,United Airlines,43,2,45,"2 km from Chicago-Midway Airport, IL (MDW)",w/o,230
2 Jan 1973,B707,Pacific Western Airlines,5,0,5,"ca 3 km SE of Edmonton International Airport, AB (YEG)",w/o,189
22 Jan 1973,B707,"Nigeria Airways, lsf Alia Royal Jordanian Airlines",176,0,176,Kano International Airport (KAN),w/o,189
21 Feb 1973,B727,Libyan Arab Airlines,108,0,108,35 km SE of Isma'iliya,w/o,189
31 May 1973,B737,Indian Airlines,48,0,48,6 km from Delhi-Indira Gandhi International Airport (DEL),w/o,230
9 Jun 1973,B707,Varig,2,0,2,"off Rio de Janeiro-Galeão International Airport, RJ (GIG)",w/o,189
11 Jul 1973,B707,Varig,123,0,123,5 km W of Paris-Orly Airport (ORY),w/o,189
22 Jul 1973,B707,Pan American World Airways (Pan Am),78,0,78,"3 km NE off Papeete-Faaa Airport (PPT), Tahiti",w/o,189
27 Jul 1973,B727,Federal Aviation Administration - FAA,0,3,3,"over Yukon, OK",sub,189
28 Aug 1973,B707,Trans World Airlines - TWA,1,0,1,"35 miles W of Los Angeles, CA",non,189
18 Oct 1973,B727,Air France,1,0,1,Marseille-Marignane Airport (MRS),unk,189
3 Nov 1973,B707,Pan American World Airways (Pan Am),3,0,3,"Boston-Logan International Airport, MA (BOS)",w/o,189
3 Nov 1973,DC10,National Airlines,1,0,1,"near Socorro, NM",sub,380
17 Dec 1973,B707,Pan American World Airways (Pan Am),30,0,30,Roma-Fiumicino Airport (FCO),w/o,189
17 Dec 1973,B737,Lufthansa,1,0,1,Kuwait International Airport (KWI),unk,230
30 Jan 1974,B707,Pan American World Airways (Pan Am),97,0,97,"1,2 km SW of Pago Pago International Airport (PPG)",w/o,189
3 Mar 1974,DC10,Türk Hava Yollari - THY,346,0,346,Bois d'Ermenonville,w/o,380
22 Apr 1974,B707,Pan American World Airways (Pan Am),107,0,107,68 km NW of Denpasar,w/o,189
10 May 1974,B727,Avianca,1,0,1,Bogotá-Eldorado Airport (BOG),non,189
24 Jul 1974,B727,Avianca,1,0,1,Cali Airport (CLO),unk,189
8 Sep 1974,B707,Trans World Airlines - TWA,88,0,88,"93 km W off Cephalonia, Greece",w/o,189
15 Sep 1974,B727,Air Vietnam,75,0,75,near Phan Rang Air Base (PHA),w/o,189
20 Nov 1974,B747,Lufthansa,59,0,59,Nairobi International Airport (NBO),w/o,660
1 Dec 1974,B727,Northwest Orient Airlines,3,0,3,"Stony Point, NY",w/o,189
1 Dec 1974,B727,Trans World Airlines - TWA,92,0,92,"Upperville, VA",w/o,189
1 Mar 1975,B737,Iraqi Airways,1,0,1,Tehran-Mehrabad Airport (THR),unk,230
24 Jun 1975,B727,Eastern Air Lines,113,0,113,"New York-John F. Kennedy International Airport, NY (JFK)",w/o,189
3 Aug 1975,B707,"Jordanian World Airways, opf Royal Air Maroc - RAM",188,0,188,near Amskroud,w/o,189
15 Sep 1975,B727,Continental Air Lines,1,0,1,"San Jose Municipal Airport, CA (SJC)",non,189
30 Sep 1975,B727,Avianca,4,0,4,Barranquilla-Soledad Airport (BAQ),w/o,189
5 Apr 1976,B727,Alaska Airlines,1,0,1,"Ketchikan International Airport, AK (KTN)",w/o,189
27 Apr 1976,B727,American Airlines,37,0,37,Saint Thomas-Harry S. Truman Airport (STT),w/o,189
9 May 1976,B747,Imperial Iranian Air Force - IIAF,17,0,17,near Madrid,w/o,660
2 Aug 1976,B707,Korean Air Lines - KAL,5,0,5,17 km WNW of Tehran-Mehrabad Airport (THR),w/o,189
